threshold,val_acc,test_acc,removed_edges,modified_edges,original_edges,edge_reduction_pct
0.1,91.14,92.07,0,10858,10858,0.0
0.12000000000000001,91.14,92.07,0,10858,10858,0.0
0.14,91.14,92.07,0,10858,10858,0.0
0.16000000000000003,91.14,92.07,0,10858,10858,0.0
0.18000000000000002,91.14,92.07,0,10858,10858,0.0
0.2,91.14,92.07,0,10858,10858,0.0
0.22000000000000003,91.14,92.07,0,10858,10858,0.0
0.24000000000000002,91.14,92.07,0,10858,10858,0.0
0.26,91.14,92.07,0,10858,10858,0.0
0.28,91.14,92.07,0,10858,10858,0.0
0.30000000000000004,91.14,92.07,0,10858,10858,0.0
0.32000000000000006,91.14,92.07,0,10858,10858,0.0
0.3400000000000001,91.14,92.07,2,10856,10858,0.01841959845275373
0.3600000000000001,91.14,92.07,2,10856,10858,0.01841959845275373
0.38,91.14,92.07,2,10856,10858,0.01841959845275373
0.4,91.14,92.07,2,10856,10858,0.01841959845275373
0.42000000000000004,91.14,92.07,2,10856,10858,0.01841959845275373
0.44000000000000006,91.14,92.07,2,10856,10858,0.01841959845275373
0.4600000000000001,91.33,92.25,8,10850,10858,0.07367839381101492
0.4800000000000001,91.33,92.25,8,10850,10858,0.07367839381101492
0.5000000000000001,91.33,90.96,16,10842,10858,0.14735678762202983
0.5200000000000001,91.14,90.96,24,10834,10858,0.22103518143304474
0.54,91.14,90.96,30,10828,10858,0.27629397679130596
0.56,91.33,92.25,48,10810,10858,0.4420703628660895
0.5800000000000001,91.33,91.88,66,10792,10858,0.6078467489408731
0.6000000000000001,91.51,90.41,84,10774,10858,0.7736231350156566
0.6200000000000001,91.33,90.22,102,10756,10858,0.9393995210904402
0.6400000000000001,91.14,91.33,150,10708,10858,1.3814698839565298
0.66,91.33,91.51,200,10658,10858,1.841959845275373
0.68,91.51,91.7,246,10612,10858,2.2656106096887085
0.7000000000000001,91.51,91.33,292,10566,10858,2.6892613741020446
0.7200000000000001,91.51,92.25,354,10504,10858,3.26026892613741
0.7400000000000001,91.51,92.25,448,10410,10858,4.125990053416836
0.7600000000000001,91.7,91.7,540,10318,10858,4.973291582243507
0.7800000000000001,91.51,91.33,612,10246,10858,5.636397126542642
0.8000000000000002,92.07,92.44,686,10172,10858,6.317922269294529
0.8200000000000002,91.88,92.25,786,10072,10858,7.238902191932215
0.8400000000000001,91.88,93.17,876,9982,10858,8.067784122306133
0.8600000000000001,92.44,93.36,930,9928,10858,8.565113280530484
0.8800000000000001,92.44,93.54,1006,9852,10858,9.265058021735125
0.9000000000000001,91.51,92.99,1056,9802,10858,9.72554798305397
0.9200000000000002,92.62,93.36,1076,9782,10858,9.909743967581507
0.9400000000000002,92.8,93.54,1086,9772,10858,10.001841959845276
