threshold,val_acc,test_acc,removed_edges,modified_edges,original_edges,edge_reduction_pct
0.1,89.48,90.77,0,10858,10858,0.0
0.12000000000000001,89.48,90.77,0,10858,10858,0.0
0.14,89.48,90.77,0,10858,10858,0.0
0.16000000000000003,89.48,90.77,0,10858,10858,0.0
0.18000000000000002,89.48,90.77,0,10858,10858,0.0
0.2,89.48,90.77,0,10858,10858,0.0
0.22000000000000003,89.48,90.77,0,10858,10858,0.0
0.24000000000000002,89.48,90.77,2,10856,10858,0.01841959845275373
0.26,89.48,90.77,2,10856,10858,0.01841959845275373
0.28,89.48,90.77,2,10856,10858,0.01841959845275373
0.30000000000000004,89.48,90.77,2,10856,10858,0.01841959845275373
0.32000000000000006,89.48,90.77,2,10856,10858,0.01841959845275373
0.3400000000000001,89.48,90.77,2,10856,10858,0.01841959845275373
0.3600000000000001,89.48,90.77,2,10856,10858,0.01841959845275373
0.38,89.48,90.77,2,10856,10858,0.01841959845275373
0.4,89.48,90.22,4,10854,10858,0.03683919690550746
0.42000000000000004,89.48,90.22,4,10854,10858,0.03683919690550746
0.44000000000000006,89.48,90.22,4,10854,10858,0.03683919690550746
0.4600000000000001,89.48,90.22,8,10850,10858,0.07367839381101492
0.4800000000000001,89.48,90.22,12,10846,10858,0.11051759071652237
0.5000000000000001,89.67,90.77,22,10836,10858,0.20261558298029103
0.5200000000000001,89.85,90.41,36,10822,10858,0.33155277214956713
0.54,89.67,90.77,48,10810,10858,0.4420703628660895
0.56,89.48,90.22,78,10780,10858,0.7183643396573955
0.5800000000000001,89.3,90.04,96,10762,10858,0.884140725732179
0.6000000000000001,89.48,90.41,122,10736,10858,1.1235955056179776
0.6200000000000001,89.11,90.41,160,10698,10858,1.4735678762202984
0.6400000000000001,89.11,91.14,216,10642,10858,1.9893166328974028
0.66,88.93,91.14,284,10574,10858,2.6155829802910295
0.68,88.75,91.33,360,10498,10858,3.3155277214956715
0.7000000000000001,89.67,91.7,440,10418,10858,4.052311659605821
0.7200000000000001,89.11,90.59,524,10334,10858,4.825934794621477
0.7400000000000001,89.48,90.96,630,10228,10858,5.802173512617425
0.7600000000000001,89.3,90.41,742,10116,10858,6.8336710259716344
0.7800000000000001,89.3,89.85,822,10036,10858,7.570454964081782
0.8000000000000002,89.3,90.04,960,9898,10858,8.84140725732179
0.8200000000000002,89.11,90.04,1068,9790,10858,9.836065573770492
0.8400000000000001,88.38,90.59,1218,9640,10858,11.21753545772702
0.8600000000000001,89.48,91.14,1288,9570,10858,11.862221403573402
0.8800000000000001,89.67,91.14,1384,9474,10858,12.74636212930558
0.9000000000000001,89.67,92.07,1452,9406,10858,13.372628476699209
0.9200000000000002,88.75,91.88,1518,9340,10858,13.980475225640083
0.9400000000000002,88.93,91.51,1542,9316,10858,14.201510407073126
